Word,Meaning
seashore,(nt.) samuddatīra.
seasickness,(m.)  sāmuddika -bhama.
seaside,(nt.) sāgarānnaṭṭhāna.  season : (m.) utu; samaya; (v.t.) saṃkharoti;
seasonable,(adj.) samayocita;
seasonably,(adv.) yathāsamayaṃ;
seasonal,(adj.) samayāyatta.
seat of learning,(nt.) vijjāyatana.
seaward,(adj.) samuddābhimukha.
seawards,(adv.) sāgarābhimukhaṇ.
seaweed,(m.) s amuddagaccha.
seaworthy,(adv.) yātrāyogga.
sebaceous,(adj.) medobahula.
secant,(f.) chedaka -rekhā.
secede,(v.i.) sapakkhato apagacchati. (pp.)
seceder,(n.) pakkhavissajjaka; bhedamatika.
secession,(m.) sapakkhacāga.
seclist,(n.) vivekakāmī; paṭisallīnarata.
seclude,(v.t.) 1. visuṃ vāseti; 2. (oneself : )
seclusion,(nt.) 1. vinākaraṇa; visuṅkaraṇa;
seclusion at noon,(m.) divāvihāra.
second,(m.) muhutta; accrāsaṅghāta;
secondarily,(adv.) amukhyavasena.
second ary,(adj.) appadhāna; anukhya.
seconder,(m.) anumaññaka; daḷhīkattu.
secondhand,(adj.) kataparibhoga.
secondly,(adv.) dutiyaṃ.
secrecy,(nt.) gūḷhatta; rāhassikatta.
secret,(nt.) rahassa; duyha; (adj.) gūḷha;
secretariat,(m.) mahālekhakāya.
secretariate,(m.) mahālekhakālaya.
secretary,(m.) lekhanādhikārī.
secretary of state,(m.) mahālekhaka.
secrete,(v.t.) 1. nikkhāmeti; moceti; 2.
secretecy,(nt.) gūḷhatta; rāhassika tta.
secretion,(m.) niggatayūsa; (nt.) mala.
secretive,(adj.) rahassākāra; gūḷhasabhāva.
secretly,(adv.) raho; gūḷhaṃ.
secretness,(nt.) gūḷhatta; rāhasikatta.
secretory,(adj.) nicchāraha; mocaka.
sect,(m.) nikāya; gaṇa; pakkha.
sectarian,(adj .) nikāyāyatta; pakkhaagata;
sectarianism,(nt.) nekāyika; (m.)
sectary,(m.) nikāyāyattapuggala.
section,(m.) vagga; khaṇḍa; pabba; pariceda;
sectional,(adj.) koṭṭhās āyatta.
sectionally,(adv.) paricchedavasena;
sector,(m.) chinnabhaga.
secular,(adj.) ihalokika; saṃsārika.
secularise,(v.t.) lokikattaṃ pāpeti.
secularism,(f.) ihalokaniṭṭhā.
secularity,(nt.) lokikatta.
secularly,(adv.) lokiyav asena.
secularness,(nt.) lokikatta.
secure,(adj.) khema; nibbaya; nirāsaṅka;
secure place,(nt.) khemaṭṭhāna.
securely,(adv.) khemena; surakkhitaṃ.
securer,(m.) abhayadāyī; tāyaka.
security,(f.) gutti; rakkhā. (nt.) tāṇa; leṇa.
sedan,(f.) sivikā
sedate,(adj.) upasanta; nibbikāra.
sedately,(adv.) nibbikāraṃ.
sedateness,(f.) upasantatā.
sedative,(adj.) upassmakara. (nt.)
sedentary,(adj.) nisajjābahula; udāsīna;
sediment,(nt.) kakka; sañcitamala.
sedimentary,(adv.) malasadita.
sedition,(nt.) kumantana; dubbhana.
seditious,(adj.) dubbhanasīla.
seditiously,(adv.) dubbhanākārena.  seduce : (v.t.) vi moheti; palobheti. (pp.)
seducer,(m.) palobhaka; vilohaka.
seduction,(nt.) palobhetvā avaharaṇa;
seductive,(adj.) palobhaka vimohaka.
seductively,(adv.) palobhanena.
sedulous,(adj.) kiccāsatta; uyyogapara.
sedulousl y,(adv.) sausāhaṃ.
sedulousness,(f.) uyyoga; kattukamyatā.
see,(m.) dhammācariyāyattapadesa. (v.t.)
seed,(nt.) bīja; (semen : ) sukka. (m.)
seed time,(m.) vapakāla.
seedless,(adj.) abījaka.
seedling,(m.) bījaṅkura.
seedsman,(m.) bījavāṇija.
seedy,(adj.) bījapuṇṇa.
seeing,(adj.) passanta; olokenta.
seek,(v.t.) 1. gavesati; pariyesati; 2.
seeker,(m.) gavesī; ākaṅkhī; patthetu.
seeking after,(adj.) nibbisanta; gavesanta.
seem,(v.i.) dissati; khāyati; paṭibhāti.
seeming,(adj.) kittima; bāhirato dissamāna.
seemingly,(adv.) ayathāvato; bāhirato
seemly,(adj.) anucchavik a; anurūpa.
seen,"(pp. of see), diṭṭha || easily seen: (adj.)"
seen face to face,(adj.) sakkhidiṭṭha.
seen well,(adj.) sudiṭṭha.
seer,(m.) passitu; dassāvī; dassī.
seethe,(v.i.) kuthati. (v.t.) sedeti; kutheti.
seeth ing,(adj.) saṅkhubhita; kuthita.
segment,(m.) cheda; chinnakhaṇḍa.
segregate,(v.t.) viyojeti; visuṃkaroti. (pp.)
segregation,(nt.) visuṅkaraṇa.
segregative,(adj.) viyojaka.
seine,(nt.) mahājāla.
seismic,(adj.) bhūmicalanā yatta.
seismography,(m.) bhūmicālavibhāga.
seismometer,(nt.) bhūmicālasūcakayanta.
seize,(v.t.i.) pasayha gaṇhāti; āvisati;
seizer,(m.) gāhaka; gāhī.
seizure,(nt.) gahaṇa; akkamana; āvisana.
sejun ction,(nt.) viyojana; puthakkaraṇa.
seldom,(adv.) kadāci; kālantarena.
select,(adj.) uccinita; visiṭṭha; sammata. (v.t.)
selection,(nt.) uccinana.
selectness,(nt.) mahagghatta; visiṭṭhatta.
self,(m.) atta. (ind.; adj.) saka; nija; sakīya || I
we ourselves,mayam attanāva.
selfhood,(m.) puggalabhāva; attabhāva.
selfish,(adj.) sakatthapara.
selfishly,(adv.) sakatthaparatāya.
selfishness,(f.) sakatthaparatā.
selfless,(adj.) paratthakāmī.
selfne ss,(f.) paratthakāmitā.
sell,(v.t.) vikkiṇāti. (pp.) vikkīta.
seller,(n.) vikketu; vikkāyika.
selling,(nt.) vikkiṇṇa.
selvage,(f.) dasā; mukhavaṭṭi.
semblance,(nt.) samānatta; sadisatta. (m.)
semen,(nt.) sukka. (m.) sambhava.
semi,(prep.) addha (in cpds.).
seminal,(adj.) sambhavavisayaka.
seminality,(f.) jananasatti.
seminary,(m.) sāmaṇerasikkhālaya. (nt.)
seminiferous,(adj.) bījadhārī.
sempiternal,(adj.) sadātana; sassata.
senate,(f.) sacivasabhā.
senator,(m.) saciva.
send,(v.t.) peseti; pahiṇāti. (pp.) pesita;
send after,anupeseti.
send away,paṇāmeti; uyyojeti.
send back,paṭip eseti.
send for,pakkosāpeti.
send forth,1. nicchāreti; 2. sāsanaṃ peseti.
send off,ossajati; vissajjeti; peseti.
send out,nicchāreti; nikkhāmeti.
sender,(m.) pesetu; pesaka.
sending,(nt.) pesana.
sending off,(nt.) vissajjana.
senescent,(adj .) jīyamāna.
senile,(adj.) vayovuddha; jarājiṇṇa.
senility,(f.) jarājiṇṇatā.
senior,(adj.; n.) vuḍḍhatara; jeṭṭha.
senior monk,(m.) thera.
senior nun,(f.) therī.
seniority,(nt.) jeṭṭhatta; vuddhataratta.
senna,(nt.) soṇṇapatta; virecakapaṇṇa.
sensation,(nt.) visayagahaṇa.
sensational,(adj.) saṃvegakara;
sensationally,(adv.) saṃvegajanakākārena.
sense,(nt.) (cakkhādi -) indriya. (m.)
accord ing to sense,(adj.) anvattha.
sense object,(nt.) ālambana; ārammaṇa.
sense of hearing,(nt.) sotindriya.
sense of sight,(nt.) cakkhundriya.
sense of smell,(nt.) ghāṇindriya.
sense of taste,(nt.) jivhindriya.
sense of touch,(nt.) kāyindriya.
sense organ,(nt.) āyatana; pasādarūpa.
sense perception,(f.) muti.
senseless,(adj.) acetana; aviññāṇaka;
senselessly,(adv.) visaññitāya;
sensibility,(f.) 1. jānanasatti; 2.
sensible,(adj.) 1. indriyagocara; 2. sacetana;
sensibleness,(f.) tikhiṇindriyatā.
sensibly,(adv.) paccakkhato;
sensitive,(adj.) 1. khippābhiñña;
sensitive plant,(namakkārī; nidhikumbhī.
sensitively,(adv.) sukhumasaññāya.
sensitiveness,(f.) tikkhindriyatā.
sensorium,(nt.) matthaluṅga.  sensory : (adj.) visayaga -hanasamattha;
sensual,(adj.) 1. indriyabaddha; 2.
sensual enjoyment,(f.) kāmasevanā;
sensual pleasure,(f.) kāmarati.
sensualist,(n.) kāmabhogī; visayarata.
sensuality,(f.) kāmabhogitā.
sensualness,(f.) kāmabhogitā.
sensuous,(adj.) indriyagocara ; indriyāsatta.
sentence,(nt.) vākya. (m.) daṇḍaniyama.
sentience,(nt.) sacetanatta.
sentient,(adj.) sacetanika.
sentiment,(m.) saṅkappa; adhippāya;
sentimental,(adj.) rasabahula;
sentimentalism,(f.) rasaññutā;
sentimentality,(f.) rasaññutā;
sentimentally,(adv.) manobhāvavasena.
sentimentalist,(m.) nāṭyarasika.
sentinel,(m.) rakkhīpurisa.
sentry,(m.) rakkhīpurisa.
separable,(adj.) puthakkaraṇīya.
separate,(adj.; n.) pacceka; paṭiyekka;
separately,(adv.) visuṃ; puthu; pāṭekkaṃ;
separateness,(f.) pāṭekkatā; paccekatā.
separation,(nt.) visuṅkaraṇa; viyujjana. (m.)
separatism,(nt.) vinābhavana.
separative,(adj.) viyogakara.
separator,(m.) viyojaka.
sepoy,(m.) bhāratīya -yuddhabhaṭa.
sepsis,(nt.) pūyapaggaharaṇa.
septangular,(adj.) sattakoṇaka.
September,(m.) poṭṭhapāda.
septenary,(nt.) sattaka. (adj.) sattaṅga;
septennial,(adj.) sattavas sika.
septet,(nt.) sattaka.
septic,(adj.) pūtibhāvagata.
septical,(adj.) pūtibhāvagata.
septuple,(adj.) sattaguṇika.
sepulchral,(adj.) chavāgārāyatta;
sepulchre,(nt.) susānaghara; chavāgāra.
sepulture,(nt.) bhūnidahana;
sequacious,(adj.) dhitihīna; parānuvattī.
sequacity,(f.) dhitihīnatā.
sequel,(nt.) anugāmiphala. (m.)
sequence,(m.) anukkama; anvaya. (f.)
sequencent,(adj.) a nugāmī.
sequester,(v.) visuṃ vāseti or ṭhapeti. (pp.)
sequestrate,(v.t.) 1. rājasantakaṃ karoti; 2.
sequestration,(nt.) dhanarundhana.
sequestrator,(m.)  rundhita -dhanapālaka.
seraglio,(nt.) itthāgāra; antepura. (m.)
serene,(adj.) upasanta; samāhita;
serenity,(f.) passaddhi. (m.) upasama.
serf,(m.) kassaka -dāsa.
serfdom,(nt.) kassaka -dāsavya.
sergeant,(m.) bhaṭasenāya upādhik ārī.
serial,(nt.) anukkamapaṇṇa. (adj.)
serially,(adv.) anukkamena; yathākkamaṃ.
seriate,(v.t.) anukkamikaṃ or
seriatim,(adv.) yathānukkamaṃ.
sericulture,(nt.) kosakimiposaṇa.
sericulturist,(m.) kosakimiposaka.
series,(f.) āvali; panti; seṇi; mālā.
serious,(adj.) 1. bhāriya; garuka; 2.
seriously,(adv.) bāḷhaṃ.
seriousness,(nt.) garutta; bhāriyatta;
serjeant,(m.) bhaṭasenāya upādhikārī.  sermon  : (f.) dhammadesanā. (m.) suttanta.
sermonise,(v.t.) dhammaṃ deseti. (pp.)
serous,(adj.) takkavaṇṇa; takkasadisa.
serpent,(m.) sappa; ahi; uraga; bhujaga;
serpent charmer,(m.) ahiguṇṭhika.
serpentine,(adj.) sappopama; kuṭila; vaṅka.
serrate,(adj.) kakacasadisa. (v.t.) dante
serried,(adj.) nirantarasaṃhata.
serum,(f.) vasā.
servant,(m.) sevaka; bhacca; kiṅkara;
servant boy,(m.) ceṭaka.
servant girl,(f.) ceṭikā.
serve,(v.t.) upāsati; paricarati; upaṭṭhāti.
serve out,bhājeti.
serve u p food,1. bhojanaṃ paṭiyādeti; 2.
serve with,sampādeti.
service,(f.) sevā; paricariyā. (nt.) upaṭṭhāna;
public service,(nt.) rājakicca. (f.) rājasevā.
servile,(adj.) parādhīna; parapessiya;
servilely,(adv.) nīcavuttiyā; adhikagāravena.
servility,(nt.) atilolatta; dāsasadisatta.
servitor,(m.) upaṭṭhāka; kappiyakāraka. see
servitude,(nt.) parādhīnatta.
sesame,(nt.) tila.
sesame cake,(f.) tilasaṅguḷikā.
sesame paste,(nt.) tilakakka.
session,(m.) sabhāvāra; adhikaraṇavāra.
sessional,(adj.) sabhāvārāyatta.
sesspool,(f.) jambālī. (m.) oligalla.
set,(m.) samūha; vagga; gaṇa; atthagama. (f.)
set about,ārabhati.
set against,virujjhati.
set apart,visuṃ karoti or ṭhapeti.
set aside,paṭisāmeti.
set before,upaṭṭhapeti; abhiharati.
set down,nikkhipati.
set forth,niddisati; paññāpeti.
set free,pamoceti.
set in motion,kampeti; paribbhameti.
set in order,saṃsāmeti.
set into agitation,saṃvejeti.
set on,payojeti.
set on fire,ujjāleti.
set out,nikkhamati; niggacchati.
set over,niyojeti; adhikāraṃ pāpeti.
set up,1. payojeti; 2. ukkujjeti.
set upon,pakkhandati.
settee,(nt.) dīghāsana.
setting,(m.) sannivesa. (nt.) patiṭṭhāpana.
setting down,(m.) atthagama.
settle,(nt.) dīghaphalakā sana. (v.t.) 1.
settlement,(m.) sannivesa; vinicchaya. (nt.)
settler,(m.) adhivāsī.
seven,(n.; adj.) satta || a group of seven: (nt.)
seven times,(adv.) sattakkhattuṃ.
seven years old,sattavassika.
sevenfold,(adj.) sattaguṇika.
seventeen,(n.; adj.) sattarasa; sattadasa.
seventeenth,(adj.) sattadasama.
seventy,(f.) sattati.
sever,(v.t.) vicchind ati; viyojeti. (pp.)
several,(adj.) katipaya.
severally,(adv.) visuṃ; paccekaṃ.  severalty : (nt.) bhinnatta. (m.) puthubhāva.
severance,(nt.) vicchindana.
severe,(adj.) tikhiṇa; tibba; ugga; atimatta;
severely,(adv.) atimattaṃ; atitibbaṃ.
severity,(nt.) tibbatta; tikhiṇatta.
sew,(v.t.) sibbati; tuṇṇakammaṃ karoti.
sewer,(f.) paṇālī; malanibbāhinī.
sewerage,(nt.) malanibbāhanakamma.
sewing,(nt.) sibbana.
sewing machine,(nt.) sibbakayanta.
sex,(nt.) liṅga; bhāvarūpa || female sex: (m.)
sexagenarian,(adj.; 3.) saṭṭhivassika.
sexangle,(adj.; m.) chakoṇaka.
sexennial,(adj.) chabbassika.
sexology,(nt.) kāmasattha.
sextuple,(adj. ) chakoṭṭhāsika.
sexual,(adj.) liṅgika; methunāyatta.
shabbily,(adv.) kucchitākārena.
shabbiness,(nt.) lūkhavasanatta.
shabby,(adj.) lūkha; kucchita; kiliṭṭhavasana.
shackle,(m.) nigaḷa; anduka. (v.t.) andukehi
shade,(f.) chāya; tirokaraṇī; lesamattā. (nt.)
shadeless,(adj.) chāyārahita; anāvaṭa.
shadow,(f.) chāyā. (nt.) lesamatta. (v.t.) 1.
shadowy,(adj.) 1. chāyāmaya; chāyābahula;
shady,(adj.) sacchāya; avivaṭa.
shaft,(m.) sara; kaṇḍa; usu; bāṇa. (f.) yaṭṭhi;
shag,(nt.) thūlalomakavattha.
shaggy,(adj.) 1. lomasa; kharalomayutta; 2.
shake,(nt.) calana; kampana; iñjana;
shake about,mathati; mantheti.
shake off,odhunāti; nid dhunāti.
shaking,(adj.) calamāna; kampamāna.
shaky,(adj.) lola; capala; cala.
shall,(v. aux.) Expressed forms (such as -
shallow,(adj.) 1. uttāna; agambhīra; 2.
shallow hearted,(adj.) athirajjhāsaya.
shallowly,(adv.) uttānākārena.
shallowness,(nt.) agambhīratta.
sham,(f.) palambhanā; vañcanā. (m. vyāja.
sham fight,(f.) uyyodhikā.
shamble,(f.) alalitagati. (v.i.)
shambles,(nt.; plu.) āghātana; sūnāghara.
shame,(f.) lajjā; hiri; apakitti. (m.) avamāna.
shame faced,(adj.) lajjanasīla;
shameful,(adj.) lajjitabba; nindanīya;
shamefully,(adv.) lajjitabbākārena.
shameless,(adj.) nillajja; ahirika.
shamelessly,(adv .) nillajjākārena.
shamelessness,(f.) alajjitā; ahirikatā.
shampoo,(nt.) sambāhana; sedana. (v.t.)
shank,(f.) jaṅghā.
shanty,(f.) kuṭi; paṇṇasāla.
shape,(nt.) saṇṭhāna. (m.) ākāra. (v.t.)
shapeless,(adj.) nirākāra; saṇṭhānarahita.
shapely,(adj.) surūpa; susaṇṭhāna.
shard,(f.) kaṭhalikā. (m.) kapālakhaṇḍa.
share,(m.) paṭiviṃsa; koṭṭhāsa; bhāga;
share holder,(m.) bhāgasāmī;
sharer,(m.) bhāgī; bhāgagāhī; bhājaka.
shark,(m.) 1. makara; 2. vañcaka. (v.i.)
sharp set,(adj.) atijighacchita.
sharp witted,(adj.) tikhiṇabuddhika.
sharpen,(v.t.) tejeti; uttejeti; niseti; d hāraṃ
sharpener,(nt.) nisāṇakaravatthu.
sharper,(m.) vañcaka; saṭha.
sharply,(adv.) 1. tiṇhaṃ; tikhiṇaṃ; 2.
sharpness,(nt.) 1. tikhiṇatta; 2. kosalla;
shatter,(v.t.) vi kirati; vicuṇṇeti; khaṇḍeti.
shave,(nt.) khurakamma; kesavoropaṇa. (f.)
shaver,(m.) nahāpita.
shaverling,(m.) muṇḍaka; muṇḍasīsa.
shavey,(f.) paricārikā; ceṭikā.
shaving,(nt.) kesoropaṇa; bhaṇḍukamma.
shavocracy,(nt.) dāsapatipālanabala.
shawl,(nt.) pāvuraṇa.
she,(pron.; f.) sā.
she bird,(f.) sakuṇī.
she elephant,(f.) hatthinī.
sheaf,(m.) kalāpa. (f.) veṇī; kaṇṇikā. (v.t.)
shear,(v.t.) (lomādiṃ) luṇāti; anukantati.
shearer,(m.) lomakantaka.
shearing,(nt.) kantana; lāyana. (plu.; f.)
sheath,(m.) kosa. (f.) kosī.
sheathe,(v.t.) kose pakkhipati; paḷiveṭheti.
sheathing,(nt.) kosekhipana.
sheave,(v.t.) veṇīkaroti. (pp.) veṇīkata.
shed,(m.) maṇḍapa. (f.) vivaṭasālā. (v.t.)
shedding,(nt.) paggharāpana.
shedder,(m.) paggharāpaka.
sheen,(f.) kanti; sobhā; juti. (nt.) bhāsuratta.
sheeny,(adj.) ujjala; bhāsura.
sheep,(m.) meṇḍa; mesa; urabbha.
sheep cot,(m.) meṇḍavaja.
sheep dealer,(m.) orabbhika.
sheep fo ld,(m.) meṇḍavaja.
sheepish,(adj.) nitteja; lajjanasīla.
sheepishness,(nt.) momuhatta; nittejatta.
sheer,(adj.) 1. kevala; amissa; 2. adhika;
sheerly,(adv.) accantaṃ.
sheet,(nt.) paṭṭ aka; attharaṇa. (v.t.)
bed sheet,(nt.) mañcattharaṇa.
sheet fish,(m.) sapharī.
sheet of metal,(nt.) lohapaṭṭa.
sheet of paper,(nt.) kāgajapaṇṇa.
sheet of water,(nt.) jalatala.
shelf,(m.) pahalakā dhāra; bhittiphalaka.
shell,(m.) kaṭāha; kosa; ghanattaca. (v.t.)
shell fish,(m.) kosamaccha; kapālamaccha.
shellac,(nt.) lākhāpaṭṭa.
shelter,(nt.) āvaraṇa; tāṇa; leṇa; paṭisaraṇa.
shelterless,(adj.) anāvaraṇa; asaraṇa.
shelve,(v.t.) 1. phalakatthare ṭhapeti; 2.
shepherd,(m.) meṇḍapāla. (v.t.) meṇḍa
shepherdess,(f.) meṇḍapālī.
sherbet,(nt.) sītala -pāna.
sheriff,(m.) padesādhikārī.
sheriffdom,(nt.) padesādhikāritta.
sheriffhood,(nt.) padesādhikāritta.
shibboleth,(nt.) kul āveṇikavacana.
shield,(nt.) kheṭaka; phalaka; tāṇa; leṇa.
shift,(nt.) saṅkamana; parivattana. (f.)
shiftily,(adv.) kūṭopāyena.
shiftless,saṅkamanarahita.
shiftlessly,(adv.) acalākārena.
shifty,(adj.) capala; asaddheyya.
shikar,(m.) migava.  shikaree : (m.) vyādha; migavantevāsī.
shilling,(m.) ( tannāmaka -) rūpiyavisesa.
shimmer,(m.) mandāloka. (v.i.) mandaṃ
shin,(f.) aggajaṅghā.
shine,(f.) juti; ditti. (v.i.) jotati; dippati;
shingle,(f.) dārumayachadaniṭṭhakā. (v.t.)
shining,(adj.) ujjala; bhāsura; jutimantu;
shiny,(adj.) bhāsura; vaṇṇa maṭṭha.
ship,(f.) nāvā; taraṇī; tarī. (v.t.) nāvam
ship builder,(m.) nāvānimmāpaka.
ship chandler,(m.) nāvāya
ship man,(m.) nāvika.
ship master,(m.) nāvādhipati.
ship wreck,(m.) nāvābhaṅga.
ship  wrecked,(nt.) nāvānimmāpanaṭṭhāna.
shipment,(nt.) nāvāya bhaṇḍajāta.
shipping,(nt.) nāvāya pesana; nāvāropaṇa.
shire,(m.) janapadekadesa.
shirk,(v.i.) kiccavimukho hoti. (pp.)
shirker,(m.) kiccavimuka.
shirt,(m.) adhokañcu ka.
shiver,(f.) kampā; sakalikā. (nt.) phandana;
shivering,(adv.) kampāsahitaṃ.
shoal,(m.) agambhīraṭṭhāna; mahāsamūha;
shock,(m.) 1. abhighāta; 2. saṅkhobha. (nt.)
shockingly,(adv.) bībhacchākārena;
shoddy,(adj; n.) lāmaka; vyāja. (m.)
shoe,(nt.) pādatāṇa. (f.) pādukā. (v.t.)
shoe black,(m.) pādatāṇamajjaka.
shoe maker,(m.) pādukāsampādaka.
shoo,(intj.) apasara. (v.i.) sūsūyati. (v.t.)
shoot,(v.i.) sahasā niggacchati; ubbhijjati.
shoot ahead,paṭimalle parājetvā dhāvati.
shoot down,vijjhitvā māreti.
shoot home,yathālakkhaṃ vijjhati.
shoot off,sahasā palāyati.
shoot up,sīghaṃ vaḍḍhati.
shooter,(m.) vijjhitu.
shooting,(nt.) vijjhana. (m.) migava. (adj.;
shooting gallery,(nt.) vijjha -
shooting range,(m.) abbhokāse
shooting star,(m.) ukkāpāta.
shop,(m.) āpaṇa. (f.) paṇyasālā. (v.t.)
shop keeper,(m.) āpaṇika; paṇyavikkayī.
shop lifter,(m.) paṇiyacora.
shopping,(nt.) āpaṇato kiṇana.
shore,(f.) veḷā. (nt.) taṭa; tīra; kūla. (v.t.)
shoreless,(adj.) atīra; amariyāda.
short,(adj.) (of length : ) rassa; vāmana;
short coming,(m.) pamādadosa.
short cut,(m.) ujumagga; adūrapatha.
short hand,(nt.) laghulekhana.
short handed,(adj.) upatthambharahita.
short lived,(adj.) acirajīvī; aciraṭṭhāyī.
short sighted,(f.) rassadiṭṭhi; adūradassitā.
short spoken,(adj.) mitabhāṇī.
short tempered,(adj.) kuppanasīla.
shortage,(nt.) ūnatta.  shorten : (v.t.) 1. saṅkhipati; saṅkoceti; 2.
shortly,(adv.) 1. acirena; khippaṃ; 2.
shortness,(nt.) adīghatta; rassatta.
shot,(m.) khepa; pahāra; vijjhak;
shoulder,(m.) jattu; aṃsakūṭa. (v.t.) 1.
shoulder belt,(f.) aṃsapaṭṭikā.
shout,(m.) unnāda; virava. (v.i.t.) ugghoseti;
shove,(f.) ussāraṇā; āyāsena apanayanā.
shovel,(f.) bhūmidabbī. (v.t.) bhūdabbiyā
shoveler,(m.) bhūdabbiyā pakkhipaka.
show,(nt.) sandassana; āvīkaraṇa;
shower,(m.) dassetu; nidassaka;
shower bath,(nt.) dhārāsināna;
showery,(adj.) meghabahula.
showily,(adv.) dassanīyākārena; vyājena.
showiness,(nt.) dassanīyatta;
showy,(adj.) dassanīya; vyājadassanayutta.
shred,(f.) sakalikā. (m.) vatthakhaṇḍa. (v.t.)
shrew,(f.) kakkasitthī; kalahakāriṇī. (m.)
shrewd,(adj.) 1. tibba; tikhiṇa; 2. carura;
shrewdness,(nt.) 1. cāturiya; nepuñña; 2.
shrewdly,(adv.) 1. chekākārena; caturatāya;
shriek,(nt.) akkandana. (m.) kaṭukanāda.
shrill,(adj.) kaṇṇakaṭuka. (v.i.) kakkasaṃ
shrillness,(nt.) kaṇṇa kaṭukatta.
shrimp,(m.) jalavicchika.
shrine,(nt.) cetiya; pujjaṭṭhāna. (v. t.) cetiye
shrink,(v.i.) saṅkucati; līyati. (v.t.) saṅkoceti;
shrink from,viramati; apakkamati.
shrinkable,(adj.) saṅkocanāraha.
shrinkage,(nt.) saṅkocana; paṭil īyana.
shrivel,(v.i.) saṅkuṭati. (v.t.) valiṃ
shroud,(nt.) chavapaṭicchādana. (v.t.)
shrub,(m.) gumba; gaccha.
shrubbery,(nt.) gumbachan naṭṭhāna.
shrubby,(adj.) gumbayutta.
shrug,(m.) aṃsasaṅkoca. (v.i.t.) aṃsakūṭe
shudder,(nt.) chambhitatta. (v.i.) bhayena
shudderingly,(adv.) sacchambhitattaṃ.
shuffle,(nt.) vikkhipana; missīkaraṇa. (f.)
shun,(v.t.) vivajjeti; parivajjeti; pajahati.
shunt,(nt.) parāvattana; aññattha pāpana.
shut,(v.t.) thaketi; pidahati; āvarati. (pp.)
shut in,rodheti.
shut out,nivāreti; nisedheti.
shut up,sannirumbheti.
shutter,(nt.) kavāṭa; pidhāna.
shutting,(nt.) pidahana.
shuttle,(m.) tasara.
shy,(adj.) lajjālu; bhīruka; hirimana;
shyness,(f.) hirimanatā; janabhīrutā.
sibilant,(nt.) usumakkhara.
sibyl,(f.) devadāsī; anāgatavādinī.
siccative,(adj.; n.) sosanaka.
sick,(adj.) gilāna; vyādhita; rogī; rogātura;
sick leave,(m.) gilānaviveka.
sick roo m,(f.) gilānasālā.
sicken,(v.t.) 1. gilānaṃ karoti; 2.
sickening,(adj.) jigucchākara.
sickish,(adj.) īsaṃ -gilāna.
sickle,(nt.) a sita; dātta; lavitta.
sickle man,(m.) lāyaka.
sickly,(adj.) rogabahula.
sickness,(m.) roga; vyādhi; ātaṅka; āmaya.
side,(m.) passa; pakkha; aṃsa. (v.i.)
side by side,(adv.) yuganandhavasena.
side long,(adj.) passānugata.
side show,(m.) amukhyavohāra.
side splitting,(adj.) atihāsajanaka.
side view,(nt.) ekapassikadassana.
side ways,(adv.) tiriyaṃ.
side wise,(adv.) tiriyaṃ.
side with,pakkhaṃ gaṇhāti.
sidereal,(adj.) nakkhattanissita.
siderography,(nt.) ayoukkiraṇasippa.
sidewards,(adv.) passābhimukhaṃ.
siding with,(adj.) anuvattaka; pakkhagāhī.
sidle,(v.i.) (gāravāya) passenayāti. (pp.)
siege,(nt.)  avarodhana; uparodhana;
siesta,(m.) divāvihāra. (f.) divāseyyā.
sieve,(f.) piṭṭhacāḷanī. (v.t.) cālaniyā
sift,(v.t.) 1. opuṇāti; 2. c ālaniyā sodheti; 3.
sifting,(nt.) opuṇana. (m.) opuṇaka.
sigh,(m.) nissāsa. (v.i.t.) nissasati; nitthunāti.
sighingly,(adv.) sanissāsaṃ.
sight,(f.) diṭṭhi. (nt.) dassana. (m.)
sightless,(adj.) andha; diṭṭhihīna.
sightlessness,(nt.) andhatta.
sightliness,(nt.) dassanīyatta; abhirūpatta.
sightly,(adj.) dassa nīya; cārudassana.
sightseeing,(nt.) nānāṭhānadassana;
sightseer,(m.) sundaraṭṭhānapassī.
sigillate,(adj.) samuṭṭhāpitarūpa ( -bhājana).
sigillation,(nt.) bhājanesu
sign,(nt.) lakkhaṇa; lañchana; abhiññāṇa;
sign board,(nt.) nāmaphalaka.
sign language,(f.) hatthamuddā.
sign on the forehead,(m.) tilaka.
sign post,(m.) saññātthambha.
signal,(f.) saññā. (m.) saṅketa. (adj.) visiṭṭha;
signal man,(m.) saññādāyaka.
signalise,(v.t.) khyātiṃ gameti; visiṭṭhataṃ
signally,(adv.) visiṭṭhākārena.
signatory,(adj.; m.) hatthalañchanadāyī.
signature,(nt.) hatthalañchana. (f.)
signet,(f.) muddā; muddika.
signeting,(f.) hatthamuddikā.
significance,(m.) attha; adhippāya. (nt.)
significant,(adj.) viññāpaka; atthayutta;
significative,(adj.) viññāpaka; atthayutta;
signify,(v.t.) gameti; bodheti; viññāpeti;
signior,(m.) ayya; sāmī.
signor,(m.) ayya; sāmī.
silence,(f.) nissaddatā. (m.) tuṇhībhāva. (nt.)
silently,(adv.) tuṇhībhāvena; nissadaṃ.
silhouette,(nt.) chāyācitta. (v.t.) chāyācittam
silk,(nt.) koseyya; kimijavattha.
silk cotton tree,(m.) simbalī.
silk mercer,(m.) koseyyavāṇija.
silk worm,(m.) kosakimi.
silken,(adj.) koseyyamaya.
silky,(adj.) mudu; komala; saṇha.
